sample	sequencing_run	end	path
Hokkaido-HK	Hokkaido-HK_S46	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Hokkaido-HK_S46_L002_R2_001.fastq.gz
Jena-JN	Jena-JN_S48	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Jena-JN_S48_L002_R1_001.fastq.gz
Jena-JN	Jena-JN_S48	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Jena-JN_S48_L002_R2_001.fastq.gz
Kanazawa-KZ	Kanazawa-KZ_S47	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Kanazawa-KZ_S47_L002_R1_001.fastq.gz
Kanazawa-KZ	Kanazawa-KZ_S47	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Kanazawa-KZ_S47_L002_R2_001.fastq.gz
Montpelier-MT	Montpelier-MT_S50	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Montpelier-MT_S50_L002_R1_001.fastq.gz
Montpelier-MT	Montpelier-MT_S50	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Montpelier-MT_S50_L002_R2_001.fastq.gz
Trento-TR	Trento-TR_S49	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Trento-TR_S49_L002_R1_001.fastq.gz
Trento-TR	Trento-TR_S49	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Trento-TR_S49_L002_R2_001.fastq.gz
Jena-JN	Jena-JN_S31	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200203_BHHFHKDRXX/Jena-JN_S31_L002_R1_001.fastq.gz
Jena-JN	Jena-JN_S31	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200203_BHHFHKDRXX/Jena-JN_S31_L002_R2_001.fastq.gz
Hokkaido-HK	Hokkaido-HK_S269	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Hokkaido-HK_S269_L001_R1_001.fastq.gz
Hokkaido-HK	Hokkaido-HK_S269	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Hokkaido-HK_S269_L001_R2_001.fastq.gz
Jena-JN	Jena-JN_S271	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Jena-JN_S271_L001_R1_001.fastq.gz
Jena-JN	Jena-JN_S271	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Jena-JN_S271_L001_R2_001.fastq.gz
Kanazawa-KZ	Kanazawa-KZ_S270	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Kanazawa-KZ_S270_L001_R1_001.fastq.gz
Kanazawa-KZ	Kanazawa-KZ_S270	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Kanazawa-KZ_S270_L001_R2_001.fastq.gz
Montpelier-MT	Montpelier-MT_S273	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Montpelier-MT_S273_L001_R1_001.fastq.gz
Montpelier-MT	Montpelier-MT_S273	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Montpelier-MT_S273_L001_R2_001.fastq.gz
Trento-TR	Trento-TR_S272	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Trento-TR_S272_L001_R1_001.fastq.gz
Trento-TR	Trento-TR_S272	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200217_AHNHN3DMXX/Trento-TR_S272_L001_R2_001.fastq.gz
Hokkaido-HK	Hokkaido-HK_S171	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Hokkaido-HK_S171_L002_R1_001.fastq.gz
Hokkaido-HK	Hokkaido-HK_S171	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Hokkaido-HK_S171_L002_R2_001.fastq.gz
Jena-JN	Jena-JN_S172	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Jena-JN_S172_L002_R1_001.fastq.gz
Jena-JN	Jena-JN_S172	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Jena-JN_S172_L002_R2_001.fastq.gz
Montpelier-MT	Montpelier-MT_S173	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Montpelier-MT_S173_L002_R1_001.fastq.gz
Montpelier-MT	Montpelier-MT_S173	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Montpelier-MT_S173_L002_R2_001.fastq.gz
Trento-TR	Trento-TR_S174	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Trento-TR_S174_L002_R1_001.fastq.gz
Trento-TR	Trento-TR_S174	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200311_AHNNC7DMXX/Trento-TR_S174_L002_R2_001.fastq.gz
